daerah,latitude,longitude,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
DUMOGA BARAT,0.531,123.841,34.84,1.81,21.3,0.3,0.77,41.98,28.14,18.07,30.53,0.22,4.02,3.88
DUMOGA UTARA,0.609,123.952,26.26,1.61,22.23,0.32,1.48,29.76,22.28,15.67,25.1,0.16,3.46,3.01
DUMOGA TIMUR,0.655,124.109,50.86,2.82,20.87,0.79,1.92,41.71,35.3,32.43,49.03,0.72,12.1,6.95
LOLAYAN,0.654,124.287,37.95,2.3,24.95,0.43,0.88,51.15,32.09,15.55,34.87,0.1,6.36,6.31
PASSI BARAT,0.796,124.264,42.38,3.56,25.12,0.7,1.99,47.96,33.29,29.71,39.92,0.88,15.02,7.39
PASSI TIMUR,0.803,124.387,43.41,2.36,17.93,0.67,1.4,42.4,38.29,18.16,40.94,1.52,13.68,13.75
BILALANG,0.835,124.319,64.24,4.52,14.94,0.63,0.58,44.74,51.52,26.22,53.71,0.28,23.11,24.31
POIGAR,0.922,124.309,30.82,2.61,18.5,0.38,1.04,38.7,26.86,13.32,25.86,0.18,8.98,9.8
BOLAANG,0.86,124.175,49.61,3.67,25.74,0.69,4.11,42.2,42.29,21.47,48.27,0.34,6.93,9.11
BOLAANG TIMUR,0.923,124.175,36.74,2.4,28.31,0.7,4.28,44.19,33.03,18.15,22.51,0.09,4.32,5.8
LOLAK,0.881,124.014,43.99,2.37,21.48,0.49,3.48,56.66,38.47,18.23,42.1,0.76,10.12,9.57
SANGTOMBOLANG,0.784,123.841,46.59,3.48,16.53,0.82,3.76,54.14,39.07,22.58,44.4,0.3,6.78,10.09
LANGOWAN TIMUR,1.133,123.868,10.75,1.87,16.61,0.25,0.8,41.38,6.9,4.89,10.17,0.08,6.23,5.28
LANGOWAN BARAT,1.129,124.807,37.95,3.37,22.9,0.62,1.67,37.82,30.39,26.96,36.59,0.29,19.24,9.86
LANGOWAN SELATAN,1.081,124.896,32.35,3.77,18.07,0.55,0.63,50.88,24.68,17.38,30.72,0.18,20.05,12.7
LANGOWAN UTARA,1.173,124.835,25.97,2.53,14.93,0.91,1.21,41.72,18.94,24.94,25.06,0,18.27,12.31
TOMPASO,1.166,124.791,30.32,2.23,15.24,0.57,2.93,43.35,18.66,26.63,29.72,0.4,20.38,15.66
KAWANGKOAN,1.205,124.783,15.8,2.37,23.59,0.59,2.99,37.37,9.58,1.87,15.04,0.08,9.5,2.71
KAWANGKOAN BARAT,1.178,124.763,20.09,2,14.15,0.44,1.07,29.37,15.73,13.29,16.49,0.13,15.69,9.07
KAWANGKOAN UTARA,1.226,124.763,15.1,1.81,14.09,0.5,0.97,34.89,10.36,11.38,13.94,0.05,9.57,1.21
SONDER,1.263,124.774,27.72,2.77,14.53,0.52,2.05,51.47,11.25,6.69,26.16,0.61,10.62,4.43
TOMBARIRI,1.363,124.664,39.49,2.15,15.92,0.65,2.25,57.38,22.04,22.96,36.98,0.35,14.55,14.07
PINELENG,1.405,124.791,24.18,1.76,19.32,0.36,1.21,53.54,13.58,17.37,21.98,0.12,10.13,8.91
TOMBULU,1.423,124.884,29.07,1.61,17.29,0.47,1.09,50.55,13.84,23.35,23.91,0.32,16.99,8.88
TONDANO BARAT,1.296,124.899,12.03,1.36,15.14,0.16,0.21,46.83,6.13,3.33,11.6,0.06,4.5,7.84
TONDANO SELATAN,1.269,124.876,12.76,0.97,20.18,0.17,1.02,49.86,6.5,3.5,12.33,0.13,6.76,5.17
REMBOKEN,1.24,124.851,45.85,3.71,15.84,0.86,3.09,54.28,15.16,26.46,43.54,0.21,17.19,9.8
KAKAS,1.179,124.878,43.31,2.39,19.71,0.41,1.87,58.79,20.51,30.95,41.24,0.15,17.74,14.57
KAKAS BARAT,1.119,124.898,53.91,3.62,21,0.82,2.33,46.93,31.11,35.87,48.88,0.08,26.19,11.67
LEMBEAN TIMUR,1.163,125,33.56,2.3,20.2,0.36,0.64,45.62,22.08,14.97,28.47,0.09,10.15,2.53
ERIS,1.221,124.914,39.8,3.4,13.73,0.47,0.97,61.91,22.27,35.35,38.08,0.22,19.47,12.48
KOMBI,1.262,125.017,32.43,2.78,14.69,0.35,1.4,52.93,16.49,0.14,27.79,0.17,22.12,6.77
TONDANO TIMUR,1.302,124.913,33.01,3.19,13.53,0.17,0.12,58.63,17.39,11.88,32.46,0.26,21.4,15.68
TONDANO UTARA,1.314,124.956,19.05,1.45,18.59,0.13,0.93,50.03,10.94,9.67,18.4,0.18,11.48,9.82
MANGANITU SELATAN,3.402,125.621,32.19,4.17,33.07,0.79,2.06,58.65,29.72,10,7.29,0.15,4.28,7.18
TATOARENG,3.246,125.462,14.08,1.93,22.02,0.71,0.53,41.7,13.83,1.84,0,0.08,0.25,1.51
TAMAKO,3.457,125.513,37.89,3.31,25.02,0.79,2.08,41.03,33.69,21.39,20.33,0.06,16.04,10.16
TABUKAN SELATAN,3.502,125.621,67.7,6.06,24.82,1.23,2.25,49.54,63.64,59.19,20.95,0,8.83,27.72
TABUKAN SELATAN TENGAH,3.463,125.648,66.08,8.07,16.78,2.18,5.5,36.08,60.4,10.09,11.48,0.13,13.75,16.39
TABUKAN SELATAN TENGGARA,3.447,125.637,79.79,7.77,14.22,2.33,3.42,50.34,68.57,6.91,10.54,0.35,24.7,40.41
TABUKAN TENGAH,3.555,125.555,50.78,5.22,30.56,1.02,3.26,35.17,43.97,33.57,23.65,0.22,15.25,9.88
MANGANITU,3.523,125.511,28.2,2.91,18.94,0.51,1,36.77,25.16,4.65,20.26,0.08,12.67,13.63
TAHUNA,3.611,125.486,9.33,0.71,30.92,0.18,0.09,68.78,7.58,2.9,7.17,0.2,6.21,6.19
TAHUNA TIMUR,3.63,125.469,5.83,0.7,20,0.06,0.06,46.6,5.09,1.92,4.45,0,3.07,2.37
TAHUNA BARAT,3.665,125.454,21.98,2.35,19.02,0.28,0.99,44.47,17.42,14.1,20.53,0.07,13.06,12.3
TABUKAN UTARA,3.709,125.489,25.4,2.92,27.74,0.29,0.76,54.43,23.26,14.19,19.39,0.04,6.38,5.06
NUSA TABUKAN,3.778,125.59,47.94,4.76,23.87,1.51,2.84,53.94,44.99,44.09,15.94,0,3.34,29.18
KEPULAUAN MARORE,4.641,125.626,55.78,2.02,20.09,0.36,0.73,51.97,54.05,36.99,18.5,0,4.62,0.29
KENDAHE,3.712,125.423,42.78,4.2,20.64,0.96,1.07,34.46,37.16,6.39,30.12,0.06,16.86,6.75
KABARUAN,3.832,126.771,43.98,1.43,9.09,0.57,0.64,22.31,40.7,27.37,37.63,0.21,28.44,1.78
DAMAU,3.746,126.832,39.73,1.55,9.11,0.31,1.38,26.56,32.73,38.55,38.45,0.18,24.73,15.27
LIRUNG,3.957,126.679,34.13,1.06,12.39,0.67,3.14,21.77,31.95,28.91,27.22,0.14,19.89,9.31
SALIBABU,3.903,126.685,29.81,1.13,13.1,0.56,3.41,43.25,26,14.73,27.77,0,17.2,14.94
KALONGAN,4.018,126.636,42.09,0.63,13.62,0.78,0.75,12.16,38.32,28.64,38.94,0.5,30.65,0.25
MORONGE,3.914,126.712,14.6,0.22,3.95,0.11,1.06,27.64,12.62,6.7,14.49,0,8.78,12.07
MELONGUANE,4.043,126.717,22.86,0.73,7.87,0.43,3.35,19.96,20.41,18.62,19.57,0.15,11.05,17.66
MELONGUANE TIMUR,4.049,126.771,60.76,2.04,13.56,1.82,3.64,12.55,53.63,40.76,51.85,0.25,29.68,4.84
BEO,4.229,126.798,39.99,1.7,15.63,0.56,0.54,43.02,36.36,9.76,27.05,0.3,20.03,8.35
BEO UTARA,4.302,126.774,65.48,3.45,16.92,1.44,2.36,22.53,60.87,61.57,48.1,0.46,14.96,11.16
BEO SELATAN,4.141,126.75,59.67,1.39,12.73,0.86,1.58,28.49,56.26,37.17,53.98,0.25,25.03,23.26
RAINIS,4.278,126.857,49.18,1.63,9.61,0.81,2.84,31.54,43.78,21.32,38.95,0.43,19.83,23.6
TAMPANNAMMA,4.392,126.812,67.07,2.66,9.6,1.13,3.86,11.41,61.74,50.69,48.75,0.4,32.45,28.01
PULUTAN,4.148,126.798,65.28,1.52,9.19,0.92,4.51,11.12,61.67,30.93,52.94,0.19,4.93,9.68
ESSANG,4.453,126.749,47.07,1.77,9.8,0.59,2.24,35.2,43.95,17.01,34.97,0.14,9.52,24.76
ESSANG SELATAN,4.404,126.728,49.65,1.12,10.2,0.84,4,31.85,47.41,23.5,38.32,0.28,11.19,35.1
GEMEH,4.499,126.816,58.06,1.55,9.15,0.75,0.8,20.2,55.7,57.69,46.3,0.3,21.45,46.52
NANUSA,4.768,127.137,46.5,1.21,15.43,0.87,2.16,24.47,41.06,45.89,28.86,0.72,18.96,19.69
MIANGAS,5.556,126.585,36.09,2.96,5.32,1.37,4.26,24.3,28.99,36.09,32.54,0,26.04,30.18
MODOINDING,0.802,124.453,39.5,2.21,16.73,0.3,2.29,43.14,27.97,28.49,39.28,0.12,25.7,20.3
TOMPASO BARU,0.919,124.531,44.76,2.81,17.34,0.77,3.97,45.31,30.73,19.24,41.1,0.44,19.84,13.31
MAESAAN,0.889,124.442,44.57,2.06,13.96,0.75,1.7,48.87,32.81,30.1,42.69,0.36,21.53,21.89
RANOYAPO,0.983,124.531,46.61,2.28,17.33,0.55,0.82,53.36,36.11,23.5,44.06,0.15,30.88,9.63
MOTOLING,1.027,124.474,40.16,1.77,14.04,0.67,4.31,48.54,30.68,35.47,39.51,0.4,21.39,34.41
KUMELEMBUAI,1.087,124.475,26.36,1.99,11.31,0.32,0.56,56.95,19.81,22.17,26.03,0.97,12.88,1.34
MOTOLING BARAT,1.016,124.398,53.65,4.27,12.94,0.99,2.58,35.79,39.83,43.86,47.07,0.24,14.88,5.28
MOTOLING TIMUR,1.046,124.531,38.33,2.97,11.81,0.52,0.89,45.22,29.09,33.14,37.53,0.48,21.48,11.97
SINONSAYANG,1.088,124.364,51.98,3.51,22.91,0.46,0.87,52.93,38.66,27.23,50.19,0.23,19.35,26.82
TENGA,1.166,124.434,42.33,2.21,17.02,0.6,1.41,45.52,33.03,27.47,41.17,0.83,24.24,14.07
AMURANG,1.132,124.608,31.61,3.13,16.11,0.61,2.32,47.26,20.69,23.38,30.24,0.57,18.25,22.95
AMURANG BARAT,1.141,124.531,31.2,2.22,16.69,0.57,1.23,46.84,22.4,23.08,30.34,0.48,15.96,18.01
AMURANG TIMUR,1.171,124.664,33.46,1.5,15.41,0.29,0.63,50.19,27.33,30.87,32.41,0.4,22.67,23.21
TARERAN,1.227,124.697,36.49,2.2,13.88,0.34,2.65,37,23.85,19.16,35.75,0.3,21.15,10.15
SULTA,1.274,124.697,28.58,2.8,13.52,0.38,1.32,55.8,20.5,22.29,27.71,0.41,16.59,4.09
TUMPAAN,1.239,124.618,42.51,2.33,20.09,0.71,5.16,51.86,31.15,23.87,41.99,0.22,19.76,26.94
TATAPAAN,1.332,124.575,62.25,3.84,18.69,0.64,1.15,55.89,49.51,59.97,56.94,0.34,21.64,31.42
KEMA,1.348,125.049,35.4,3.06,19.93,0.5,1.63,46.84,24.62,19.49,30.1,0.34,10.82,15.3
KAUDITAN,1.389,125.017,37.77,4.3,17.96,0.55,1.42,54.74,15.54,24.41,35.57,0.42,21.43,14.28
AIRMADIDI,1.427,124.972,23.91,2.52,17.63,0.23,1.47,44.41,14.7,11.47,22.06,0.44,15.69,9.02
KALAWAT,1.462,124.939,24.49,2.44,19.48,0.34,0.9,44.07,14.32,9.69,23.01,0.17,14.96,11.52
DIMEMBE,1.516,125.017,37.63,3.73,18.22,0.55,2.48,51,24.15,28.21,35.46,0.22,22.23,13.9
TALAWAAN,1.574,124.939,30.54,2.81,15.71,0.45,1.22,50.88,18.17,17.42,27.91,0.12,17.26,14.49
WORI,1.622,124.896,60.62,5.43,18.64,1.42,3.76,48.06,50.59,46.5,55.62,0.15,19.76,21.82
LIKUPANG BARAT,1.696,125,54.7,4.55,19.41,0.87,2.59,41.82,46.15,47.23,48.23,0.18,18.13,13.13
LIKUPANG TIMUR,1.643,125.105,43.41,3.96,23.14,0.61,3.36,55.61,31.45,39.42,37.49,0.26,17.12,13.14
LIKUPANG SELATAN,1.696,125,38.69,3.65,14.5,0.55,2.45,49.52,23.88,34,35.71,0.37,23.81,21.43
SANGKUB,0.857,123.651,34.12,2.05,19.71,0.52,2.76,37.74,29.52,25.92,31.94,0.18,5.42,10.66
BINTAUNA,0.866,123.49,33.01,2.03,15.99,0.47,0.74,51.76,27.18,8.48,31.68,0.12,4.15,5.92
BOLANG ITANG TIMUR,0.772,123.461,36.34,3,20.53,0.58,2.08,51.29,32,13.75,33.54,0.13,2.01,3.92
BOLANG ITANG BARAT,0.773,123.326,28.53,1.24,16.81,0.25,0.71,52.62,25.85,17.53,21.85,0,0.81,4.79
KAIDIPANG,0.893,123.248,19.11,2.21,18.77,0.29,0.38,47.05,17.07,11.07,14.15,0.31,1.19,6.04
PINOGALUMAN,0.878,123.203,28.8,2.02,16.47,0.23,0.48,46.45,26.03,18.44,18.61,0.08,1.11,11.96
BIARO,2.102,125.369,26.76,4.14,16.29,0.4,2.16,47.29,21.05,26.52,16.79,0.12,3.65,12.9
TAGULANDANG SELATAN,2.349,125.451,15.51,2.22,18.72,0.53,1.25,53.1,13.57,15.05,10.9,0,5.17,7.02
TAGULANDANG,2.346,125.412,21.67,3.02,18.36,0.38,2.07,52.14,19.38,11,14.84,0.03,11.63,13.19
TAGULANDANG UTARA,2.354,125.423,18.99,1.84,20.73,0.3,0.47,40.7,15.79,16.28,17.93,0,8.24,4.55
SIAU BARAT SELATAN,2.659,125.388,8.13,1.23,15.05,0.2,0.74,55.5,6.81,1.98,4.63,0,1.51,2.46
SIAU TIMUR SELATAN,2.688,125.388,13.73,1.87,15.47,0.19,0.4,48.56,11.45,6.99,6.94,0,3.63,6.94
SIAU BARAT,2.755,125.373,8.13,1.68,10.8,0.14,0.31,54.57,5.89,5.14,7.11,0.09,2.29,4.16
SIAU TENGAH,2.75,125.386,8.75,2.19,4.65,0.11,0.05,44.35,7.66,0,7,0,5.69,6.56
SIAU TIMUR,2.736,125.409,11.7,2.03,14.18,0.18,0.98,50.25,10.19,2.65,10.47,0,5.22,8.01
SIAU BARAT UTARA,2.769,125.381,9.56,1.41,8.33,0.21,0.15,54,8.81,0,7.5,0.09,3.75,4.69
RATATOTOK,0.918,124.708,45.35,3.76,22.07,0.43,1.79,45.03,38.35,36.22,44.19,0.32,16.1,26.53
PUSOMAEN,1.002,124.873,52.18,4.55,19.54,0.51,0.74,54.85,42.42,29.91,51.18,0.47,17.73,12.27
BELANG,0.972,124.785,31.54,3.14,18.88,0.31,1.42,48.42,26.05,18.85,30.67,0.16,6.19,13.58
RATAHAN,1.053,124.803,30.7,2.39,16.09,0.39,1.47,51.61,24.09,17.68,30.34,0.29,17.68,24.31
PASAN,1.014,124.738,39.81,4.05,15.67,0.74,2.65,49.09,33.84,23.87,38.8,0.34,16.72,33.11
RATAHAN TIMUR,1.066,124.851,39.36,3.71,15.43,0.65,1.06,30.53,33.13,34.86,32.47,0.53,20.61,27.63
TOMBATU,0.989,124.675,41.4,4,12.98,0.74,3.57,43.31,34.11,33.22,36.48,0.28,23.47,31.64
TOMBATU TIMUR,1.014,124.716,37.48,3.67,15.42,0.64,5.02,52.33,27.93,35.84,34.59,0.39,23.91,29.01
TOMBATU UTARA,1.068,124.697,38.54,3.28,14.07,0.35,3.09,38.42,31.68,26.77,37.97,0.15,20.98,27.74
TOULUAAN,1.006,124.608,27.35,2.5,14.06,0.24,1.32,41.67,23.89,17.75,26.84,0.32,15.7,21.97
TOULUAAN SELATAN,1.057,124.581,47.16,2.56,17.17,0.61,2.06,49.5,41.19,42.14,44.41,0.38,20.74,30.78
SILIAN RAYA,1.08,124.669,34.83,3.04,20,0.5,1.75,50,30.74,34.11,33.07,0.16,24.26,28.74
POSIGADAN,0.406,123.662,42.98,1.99,16.66,0.72,1.71,44.02,36.2,31.46,34.63,0.1,2.12,2.54
BOLANG UKI,0.405,123.841,46.23,1.34,11.06,0.44,2.03,38.25,40.52,29.69,39.44,0.13,2.75,3.59
PINOLOSIAN,0.467,124.109,36.02,1.17,18.22,0.36,3.39,57.75,30.3,14.15,33.68,0.05,0.42,1.31
PINOLOSIAN TENGAH,0.481,124.264,38.06,0.4,20.21,0.47,1.62,41.47,34.03,27.1,35.08,0.24,0.89,1.53
PINOLOSIAN TIMUR,0.528,124.375,62.98,2.01,24.85,0.98,3.25,57.94,54.04,46.26,35.62,0.06,4.26,5.78
NUANGAN,0.598,124.541,42.14,3,29,0.66,5.73,45.08,39.08,25.78,35.46,0.1,1.61,0.77
TUTUYAN,0.761,124.574,24.03,1.3,24.51,0.45,1.59,40.82,22.62,7.38,20.94,0.11,0.89,1.45
KOTABUNAN,0.855,124.619,34.68,2.11,29.42,0.43,6.13,46.53,32.62,20.38,30.96,0.28,2.84,2.8
MODAYAG,0.668,124.442,29.45,2.83,20.94,0.42,1.31,37.31,24.42,9.08,24,0.11,7.36,1.28
MODAYAG BARAT,0.665,124.359,30.71,2.93,19.94,0.35,1.64,48.75,25.41,4.82,30.09,0.09,2.5,0.57
MALALAYANG,1.444,124.813,10.22,0.79,15.43,0.16,0.56,53.93,5.1,3.07,9.79,0.15,4.21,3.93
SARIO,1.469,124.833,6.14,0.72,17.29,0.07,0.68,60.12,0.86,5.01,6.04,0.2,2.31,5.6
WANEA,1.459,124.846,12.81,1.14,16.2,0.2,0.73,51.21,5.17,5.34,11.77,0.19,5.96,8.21
WENANG,1.486,124.843,10.54,1.26,17.11,0.15,0.45,58.54,1.98,5.11,10.26,0.18,5.31,6.58
TIKALA,1.483,124.845,18.99,1.31,17.79,0.29,1.4,50.97,9.99,10.84,17.86,0.49,12.2,11.37
MAPANGET,1.527,124.896,21.11,1.7,18.75,0.27,0.94,51.37,13.89,8.97,19.04,0.26,13.04,10.01
SINGKIL,1.499,124.857,22.07,1.79,21.49,0.27,1.42,51.06,11.77,11.8,19.74,0.48,13.37,12.62
TUMINTING,1.513,124.849,21.84,1.88,21.87,0.27,1.11,52.13,11.12,11.57,20.6,0.34,10.04,15.76
BUNAKEN,1.539,124.835,26.17,1.93,19.54,0.36,1.04,54.68,22.05,14.88,22.81,0.32,12.35,12.26
MADIDIR,1.462,125.154,21.54,1.91,20.34,0.3,1.48,55.58,16.71,9.6,18.12,0.17,14.35,12.28
MATUARI,1.407,125.099,22.65,1.34,22.32,0.21,0.8,53.77,14.49,14.75,16.42,0.22,10.29,7.97
GIRIAN,1.439,125.121,16.98,1.27,25,0.25,2.82,50.72,12.68,7.31,15.83,0.06,12,7.48
LEMBEH SELATAN,1.413,125.22,52.93,2.7,21.83,0.88,3.19,52.51,45.07,42.88,34.82,0.14,23.6,20.67
LEMBEH UTARA,1.476,125.265,51.9,2.42,17.13,0.66,1.19,61.84,47.44,49.62,12.75,0.09,30.19,40.09
AERTEMBAGA,1.505,125.204,25.78,2.05,26.91,0.32,0.88,51.25,14.83,14.02,21.6,0.4,13.22,6.54
MAESA,1.469,125.176,24.11,1.98,22.75,0.31,1.59,54.42,15.65,10.73,23.64,0.33,14.6,11.47
RANOWULU,1.515,125.105,29.47,1.23,24.49,0.37,1.33,56.1,20.25,11.99,25.56,0.19,16.55,14
TOMOHON SELATAN,1.272,124.829,26.31,1.68,9.88,0.19,0.59,42.65,16.35,13.72,26.04,0.52,15.24,15.69
TOMOHON TENGAH,1.316,124.857,15.29,1.25,13.31,0.13,0.48,55.58,6.63,7.54,15.17,0.49,6.94,14.41
TOMOHON TIMUR,1.331,124.868,26.4,1.87,10.62,0.24,1.95,41.9,13,19.36,26.4,0.37,14.53,25.21
TOMOHON BARAT,1.321,124.763,38.71,2.34,10.68,0.67,4.21,44.11,26.6,23.63,37.81,0.75,20.02,19.32
TOMOHON UTARA,1.323,124.838,26.35,1.43,15.37,0.28,1.05,45.26,16.32,16.98,25.4,0.38,14.99,22.03
KOTAMOBAGU SELATAN,0.713,124.292,34.01,2.79,25.59,0.48,3.47,41.45,30.02,14.46,33.11,0.11,7.79,11.78
KOTAMOBAGU TIMUR,0.736,124.337,30.34,2.68,20.29,0.22,1.56,51.88,23.1,15.67,24.36,0.15,4.79,3.37
KOTAMOBAGU BARAT,0.733,124.317,18.03,1.75,17.52,0.27,1.02,53.36,9.8,6.08,16.98,0.12,4.84,4.96
KOTAMOBAGU UTARA,0.759,124.325,24.55,2.17,25.62,0.44,2.88,49.46,17.37,8.3,23.61,0.14,4.25,4.59
